                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.9402,                 1.5557,                 1.4919,                 0.7464,                0.51613,                0.56343,                0.23394,                 2.1627,                 1.5884,                 1.5479,              0.0010001,              0.0010001,              0.0010001
                    104,                 2.0025,                 1.6841,                 1.4753,                0.71092,                 0.5554,                0.61885,                0.26802,                 1.9629,                 1.4884,                 1.4798,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.9324,                 1.4909,                 1.4095,                0.69858,                0.44864,                 0.5249,                0.20715,                 2.2125,                 1.7525,                 1.5501,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.9674,                 1.5261,                 1.4892,                0.58336,                 0.3871,                0.37677,                0.13039,                 2.4367,                 2.1399,                 1.6924,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.9595,                 1.5339,                  1.442,                0.60464,                0.66129,                0.63721,                0.26617,                 1.9439,                 1.3902,                 1.4649,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.8965,                 1.5068,                 1.4318,                0.85828,                    0.5,                 0.6659,                0.28874,                 2.0358,                 1.3734,                 1.4944,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.9915,                 1.6607,                 1.4741,                0.80541,                0.53411,                0.68209,                0.29733,                 1.9934,                 1.3637,                 1.4847,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.8124,                 1.5175,                 1.3787,                0.79374,                0.53226,                0.66931,                 0.3115,                 1.9717,                  1.396,                 1.4759,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.8366,                 1.4727,                 1.4309,                0.74785,                0.59677,                 0.6644,                0.29377,                 1.9873,                 1.4386,                 1.4802,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.9115,                 1.4477,                 1.4173,                0.67232,                0.48387,                0.54789,                0.22403,                 2.0428,                 1.5418,                 1.5172,               0.000911,               0.000911,               0.000911
                    113,                 1.9998,                 1.4863,                 1.4365,                0.60608,                0.32258,                0.39826,                0.15333,                 2.1747,                 1.7179,                 1.5528,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.8927,                 1.4323,                 1.4326,                0.66167,                0.56783,                0.61604,                0.27485,                 2.0645,                  1.455,                 1.5106,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.8968,                 1.4263,                 1.4345,                0.57851,                0.51613,                0.50214,                0.19745,                 2.1439,                 1.5898,                 1.5523,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.8925,                 1.5132,                 1.4387,                0.68016,                0.51453,                0.51948,                0.22839,                 2.1177,                 1.5617,                 1.5866,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.8642,                 1.4337,                 1.4486,                 0.9007,                0.59677,                0.69054,                0.29534,                 2.0282,                 1.5291,                 1.5167,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.9393,                 1.5183,                 1.4844,                0.83813,                0.58065,                0.64539,                0.28077,                 2.0168,                  1.464,                 1.5097,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.8481,                 1.4708,                 1.4139,                0.83489,                  0.571,                0.68888,                0.26847,                 2.0794,                 1.4635,                 1.5085,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.8719,                 1.4902,                 1.3957,                0.72895,                0.52059,                0.60774,                0.20432,                 2.0802,                 1.5018,                 1.5043,              0.0008318,              0.0008318,              0.0008318
                    121,                 1.9425,                 1.6564,                 1.4418,                0.72739,                    0.5,                0.62733,                0.23645,                 2.0861,                 1.4351,                 1.5501,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.7953,                 1.4129,                 1.3952,                0.73636,                0.49561,                0.60739,                0.23318,                 2.2437,                 1.5783,                 1.5902,               0.000812,               0.000812,               0.000812
                    123,                 1.8445,                 1.4894,                 1.4378,                0.61516,                0.48387,                0.52021,                0.19184,                 2.2981,                 1.7209,                 1.5976,              0.0008021,              0.0008021,              0.0008021
                    124,                 1.9488,                 1.4944,                 1.4701,                0.60083,                0.41935,                0.41741,                0.13375,                 2.2685,                  1.952,                  1.575,              0.0007922,              0.0007922,              0.0007922
                    125,                   1.81,                 1.4416,                 1.3694,                 0.7941,                0.55992,                0.64858,                0.22932,                 2.1445,                 1.4992,                 1.5455,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.8622,                 1.5137,                 1.4576,                0.77644,                0.61625,                0.73418,                0.26213,                 2.0173,                  1.356,                 1.5495,              0.0007724,              0.0007724,              0.0007724
                    127,                 1.8835,                 1.5329,                 1.4455,                0.81929,                0.58506,                0.70094,                0.26858,                 2.0057,                 1.3519,                 1.5058,              0.0007625,              0.0007625,              0.0007625
                    128,                 1.8942,                 1.4592,                 1.4267,                0.48431,                0.29032,                0.34261,                0.12023,                 2.4289,                 2.0681,                 1.6502,              0.0007526,              0.0007526,              0.0007526
                    129,                 1.8336,                 1.4584,                 1.3553,                0.77824,                0.46774,                0.53977,                0.19708,                 2.2526,                 1.7058,                 1.5615,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.8048,                 1.3972,                 1.4028,                0.72797,                0.64746,                0.71047,                0.28148,                 2.1013,                 1.4106,                 1.4672,              0.0007328,              0.0007328,              0.0007328
                    131,                 1.8086,                 1.4359,                 1.3863,                0.69387,                0.58065,                0.66176,                0.27315,                 2.1207,                  1.504,                 1.4954,              0.0007229,              0.0007229,              0.0007229
                    132,                 1.8254,                 1.4258,                 1.4045,                0.89358,                0.54182,                0.68625,                0.29108,                 2.0392,                 1.4448,                 1.4808,               0.000713,               0.000713,               0.000713
                    133,                 1.8885,                 1.4566,                 1.4417,                0.81012,                0.55058,                0.69131,                0.27615,                 2.0713,                 1.4222,                 1.4857,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.7884,                 1.4677,                 1.3914,                0.50119,                0.54839,                0.51816,                0.18691,                 2.2436,                 1.5409,                 1.5391,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.7616,                 1.3856,                 1.3633,                0.47515,                 0.3871,                0.36442,                0.11232,                  2.375,                 1.8191,                 1.5592,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.8651,                 1.5098,                 1.3944,                0.50434,                0.35484,                0.39732,                0.13559,                 2.2906,                  1.792,                 1.5624,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.7777,                  1.424,                 1.3639,                0.62546,                0.58065,                0.57867,                0.23512,                 2.0956,                 1.5012,                  1.477,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.7546,                 1.4136,                 1.3397,                 0.7251,                0.68074,                0.73527,                0.28748,                  2.113,                 1.4588,                  1.481,              0.0006536,              0.0006536,              0.0006536
                    139,                 1.9011,                 1.5295,                  1.461,                0.73021,                0.67742,                0.72042,                0.27612,                 2.1428,                 1.4955,                 1.4966,              0.0006437,              0.0006437,              0.0006437
                    140,                 1.7944,                 1.3995,                  1.363,                0.65798,                0.51613,                0.51897,                0.16883,                 2.2293,                 1.8057,                 1.5612,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.6879,                 1.3756,                  1.355,                0.71901,                0.54839,                 0.5428,                0.17437,                 2.2139,                 1.8584,                 1.5501,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.7696,                 1.3948,                 1.3516,                0.85063,                0.56452,                0.67938,                0.28154,                  1.895,                  1.332,                 1.4465,               0.000614,               0.000614,               0.000614
                    143,                 1.9528,                 1.4797,                 1.4585,                0.79698,                0.56452,                0.70993,                0.26891,                  1.977,                 1.3276,                 1.4813,              0.0006041,              0.0006041,              0.0006041
                    144,                  1.799,                 1.4802,                 1.4662,                 0.8252,                0.58065,                0.68265,                 0.2924,                 1.9603,                 1.4169,                 1.4864,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.7944,                 1.4615,                 1.3423,                0.81106,                0.56452,                 0.7039,                0.30513,                 1.9556,                 1.4221,                 1.4703,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.7653,                 1.4527,                  1.326,                0.68222,                0.64516,                0.68227,                0.26566,                 1.9678,                 1.3658,                 1.4794,              0.0005744,              0.0005744,              0.0005744
                    147,                 1.8706,                 1.4841,                  1.463,                0.68527,                0.59702,                0.65035,                0.25302,                 1.9845,                 1.4089,                 1.4918,              0.0005645,              0.0005645,              0.0005645
                    148,                 1.7942,                 1.3898,                 1.3675,                0.78198,                    0.5,                0.60973,                0.23901,                 1.9825,                 1.4203,                 1.5059,              0.0005546,              0.0005546,              0.0005546
