                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.8928,                  1.756,                 1.7098,                0.81585,                0.56452,                0.64796,                0.30834,                 1.9522,                 1.5026,                 1.7485,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.8855,                 1.6474,                 1.8035,                0.90312,                0.54839,                0.66024,                0.27415,                 2.0556,                 1.5744,                  1.833,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.9368,                 1.7069,                 1.7776,                 0.1534,                0.14516,                0.08869,                0.03018,                 2.7022,                 2.9141,                 2.3243,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.9355,                 1.6845,                 1.7035,                0.24414,                0.32258,                0.21413,                0.07598,                 2.4404,                 2.3368,                  2.204,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.9345,                 1.6897,                  1.705,                0.22317,                0.22581,                0.12621,                0.04068,                 2.5677,                 2.7478,                 2.1981,              0.0008318,              0.0008318,              0.0008318
                    121,                 1.9828,                 1.7771,                 1.7436,                0.16574,                0.22581,                0.06008,                0.01905,                 3.0862,                 3.0036,                 2.4473,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.7392,                  1.637,                 1.6418,                0.13218,                0.16129,                0.05931,                0.01906,                 3.3533,                 3.5577,                 2.5988,               0.000812,               0.000812,               0.000812
                    123,                 1.8797,                 1.7181,                 1.7501,                0.18614,                0.16129,                0.10267,                0.02788,                 2.7435,                  3.173,                 2.1831,              0.0008021,              0.0008021,              0.0008021
                    124,                  1.832,                 1.6894,                 1.7166,                0.52029,                 0.3871,                0.44431,                0.20288,                 2.2503,                 2.0134,                 1.9071,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.8155,                 1.6918,                 1.6849,                0.74213,                  0.325,                0.45952,                0.17198,                 2.2107,                 1.8801,                 1.9365,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.9012,                 1.7547,                 1.7108,                0.28988,                0.25806,                0.17549,                0.06827,                 2.5017,                 2.6214,                 2.1128,              0.0007724,              0.0007724,              0.0007724
                    127,                 1.8379,                 1.7314,                 1.6484,                0.03985,                 0.1129,                0.02008,                 0.0084,                 2.6727,                 3.9525,                 2.2722,              0.0007625,              0.0007625,              0.0007625
                    128,                 1.8828,                 1.7066,                 1.6865,                0.19581,                0.30645,                0.18792,                0.06946,                 2.6327,                 2.3086,                 2.1542,              0.0007526,              0.0007526,              0.0007526
                    129,                 1.8063,                 1.6563,                 1.6376,                  0.647,                0.48387,                0.55107,                0.21511,                 2.2929,                 1.8433,                 1.9619,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.7886,                 1.6005,                 1.6289,                0.77763,                    0.5,                0.57594,                0.25305,                 2.0969,                 1.7507,                 1.8625,              0.0007328,              0.0007328,              0.0007328
                    131,                 1.8167,                  1.696,                 1.6874,                0.87181,                0.54849,                0.65934,                0.29374,                 2.0226,                 1.6466,                  1.808,              0.0007229,              0.0007229,              0.0007229
                    132,                 1.8384,                 1.6304,                 1.7059,                 0.8495,                0.54631,                0.65425,                0.27143,                 2.0354,                 1.6092,                  1.853,               0.000713,               0.000713,               0.000713
                    133,                 1.8892,                  1.712,                 1.6991,                0.82488,                0.48387,                0.62877,                 0.2333,                 2.1502,                 1.6759,                 1.9331,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.8065,                 1.7583,                 1.6703,                0.29584,                 0.3871,                 0.3237,                0.12257,                 2.4259,                 2.0773,                 2.0956,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.7573,                 1.6343,                 1.6723,                0.79727,                0.57096,                0.64851,                0.26219,                 2.1405,                 1.7167,                 1.8793,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.8468,                 1.7241,                 1.6803,                  0.863,                0.60967,                0.69824,                0.31112,                 1.9588,                 1.5769,                 1.7834,              0.0006734,              0.0006734,              0.0006734
